mmsi,imo,vessel_name,timestamp,latitude,longitude,speed_knots,heading_deg,ship_type
419001001,9382147,MT Samudra Shakti,2024-06-18T00:18:00Z,18.4500,71.7200,11.2,247,tanker
419001001,9382147,MT Samudra Shakti,2024-06-18T01:18:00Z,18.4610,71.7370,11.3,247,tanker
419001002,9720031,MT Konkan Pride,2024-06-18T00:18:00Z,19.1800,72.1800,12.1,110,tanker
419001002,9720031,MT Konkan Pride,2024-06-18T01:18:00Z,19.1740,72.1980,12.0,110,tanker
419001003,9298402,MV Malabar Crest,2024-06-18T00:18:00Z,19.6000,72.7000,10.4,285,bulk_carrier
419001003,9298402,MV Malabar Crest,2024-06-18T01:18:00Z,19.5870,72.6950,10.2,285,bulk_carrier
419001004,9511840,MV Godavari Star,2024-06-18T00:18:00Z,18.3000,73.1800,16.8,160,container
419001004,9511840,MV Godavari Star,2024-06-18T01:18:00Z,18.3100,73.1660,16.7,160,container
419001005,9401005,MV Kaveri Dawn,2024-06-18T00:18:00Z,19.0200,71.4200,9.8,65,tanker
419001006,9401006,MT Ratnagiri,2024-06-18T00:18:00Z,18.0800,72.8200,13.5,340,tanker
419001007,9401007,MV Sagar Kavach,2024-06-18T00:18:00Z,19.7200,71.7500,8.9,210,offshore_supply
419001008,9401008,MT Western Crest,2024-06-18T00:18:00Z,18.7000,73.3600,14.1,190,tanker
419001009,9401009,MV Coral Bay,2024-06-18T00:18:00Z,20.0200,72.6200,15.4,260,container
419001010,9401010,MT Narmada,2024-06-18T00:18:00Z,18.1000,71.6800,10.7,45,tanker
419001011,9401011,MV Ocean Prabha,2024-06-18T00:18:00Z,19.3500,73.4500,12.8,220,bulk_carrier
419001012,9401012,MT Deccan Star,2024-06-18T00:18:00Z,17.9200,72.3500,11.6,75,tanker
