spill_id,mmsi,imo,vessel_name,timestamp,latitude,longitude,speed_knots,heading_deg,ship_type,synthetic_relation
SYN-ARABIAN-001,419001001,9382147,Vessel A,2024-06-17T22:40:00Z,18.70,72.08,11.2,247,tanker,source_candidate
SYN-ARABIAN-001,419001001,9382147,Vessel A,2024-06-18T00:18:00Z,18.72,72.10,11.2,247,tanker,source_candidate
SYN-ARABIAN-001,419001001,9382147,Vessel A,2024-06-18T01:18:00Z,18.73,72.12,11.3,247,tanker,source_candidate
SYN-ARABIAN-001,419001002,9720031,MT Konkan Pride,2024-06-17T22:40:00Z,19.18,72.18,12.1,110,tanker,decoy_nearby
SYN-ARABIAN-001,419001002,9720031,MT Konkan Pride,2024-06-18T00:18:00Z,19.17,72.20,12.0,110,tanker,decoy_nearby
SYN-ARABIAN-001,419001003,9298402,MV Malabar Crest,2024-06-17T22:40:00Z,19.60,72.70,10.4,285,bulk_carrier,decoy_distant
SYN-ARABIAN-001,419001003,9298402,MV Malabar Crest,2024-06-18T00:18:00Z,19.59,72.69,10.2,285,bulk_carrier,decoy_distant
SYN-ARABIAN-001,419001004,9511840,MV Godavari Star,2024-06-17T22:40:00Z,18.30,73.18,16.8,160,container,decoy_distant
SYN-ARABIAN-001,419001004,9511840,MV Godavari Star,2024-06-18T00:18:00Z,18.31,73.16,16.7,160,container,decoy_distant
SYN-ARABIAN-001,419001005,9401005,MV Kaveri Dawn,2024-06-17T22:40:00Z,19.02,71.42,9.8,65,tanker,decoy_distant
SYN-ARABIAN-001,419001006,9401006,MT Ratnagiri,2024-06-17T22:40:00Z,18.08,72.82,13.5,340,tanker,decoy_distant
SYN-ARABIAN-001,419001007,9401007,MV Sagar Kavach,2024-06-17T22:40:00Z,19.72,71.75,8.9,210,offshore_supply,decoy_distant
SYN-ARABIAN-001,419001008,9401008,MT Western Crest,2024-06-17T22:40:00Z,18.70,73.36,14.1,190,tanker,decoy_distant
SYN-ARABIAN-001,419001009,9401009,MV Coral Bay,2024-06-17T22:40:00Z,20.02,72.62,15.4,260,container,decoy_distant
SYN-ARABIAN-001,419001010,9401010,MT Narmada,2024-06-17T22:40:00Z,18.10,71.68,10.7,45,tanker,decoy_distant
SYN-ARABIAN-001,419001011,9401011,MV Ocean Prabha,2024-06-17T22:40:00Z,19.35,73.45,12.8,220,bulk_carrier,decoy_distant
SYN-ARABIAN-001,419001012,9401012,MT Deccan Star,2024-06-17T22:40:00Z,17.92,72.35,11.6,75,tanker,decoy_distant
