mmsi,imo,vessel_name,timestamp,latitude,longitude,speed_knots,heading_deg,ship_type
518880101,9302101,Vessel A,2024-08-22T01:05:00Z,18.94,69.06,10.8,301,tanker
518880101,9302101,Vessel A,2024-08-22T03:05:00Z,18.86,69.18,11.2,294,tanker
518880101,9302101,Vessel A,2024-08-22T05:05:00Z,18.76,69.30,11.0,281,tanker
518880101,9302101,Vessel A,2024-08-22T07:05:00Z,18.68,69.38,10.6,272,tanker
518880102,9302102,Vessel B,2024-08-22T02:40:00Z,18.72,69.38,13.8,246,tanker
518880102,9302102,Vessel B,2024-08-22T04:10:00Z,18.70,69.39,14.4,248,tanker
518880102,9302102,Vessel B,2024-08-22T05:20:00Z,18.69,69.40,13.9,249,tanker
518880102,9302102,Vessel B,2024-08-22T07:00:00Z,18.67,69.44,13.2,251,tanker
518880103,9302103,Vessel C,2024-08-22T01:50:00Z,19.08,68.96,16.1,118,container
518880103,9302103,Vessel C,2024-08-22T03:50:00Z,18.94,69.07,15.4,120,container
518880103,9302103,Vessel C,2024-08-22T05:50:00Z,18.80,69.17,14.8,123,container
518880104,9302104,Vessel D,2024-08-22T02:20:00Z,18.40,70.12,9.9,204,bulk_carrier
518880104,9302104,Vessel D,2024-08-22T04:20:00Z,18.31,70.01,9.8,207,bulk_carrier
518880104,9302104,Vessel D,2024-08-22T06:20:00Z,18.25,69.95,10.1,210,bulk_carrier
518880105,9302105,Vessel E,2024-08-22T04:50:00Z,17.90,70.24,8.6,66,tanker
518880105,9302105,Vessel E,2024-08-22T06:50:00Z,17.85,70.18,8.9,60,tanker
518880105,9302105,Vessel E,2024-08-22T08:20:00Z,17.80,70.09,9.1,55,tanker
518880106,9302106,Vessel F,2024-08-22T03:20:00Z,18.74,69.46,12.6,232,tanker
518880106,9302106,Vessel F,2024-08-22T05:10:00Z,18.73,69.44,13.0,240,tanker
518880106,9302106,Vessel F,2024-08-22T06:30:00Z,18.71,69.42,12.8,245,tanker
518880107,9302107,Vessel G,2024-08-22T02:10:00Z,18.88,68.88,14.8,155,offshore_supply
518880107,9302107,Vessel G,2024-08-22T04:40:00Z,18.82,68.94,15.4,158,offshore_supply
518880107,9302107,Vessel G,2024-08-22T06:40:00Z,18.76,69.00,14.6,162,offshore_supply
